Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost
1,88.0,6.0,8.0,2024-03-26,194379.15,1555033.2
2,29.0,19.0,16.0,2024-07-09,97930.99,1566895.84
3,28.0,18.0,6.0,2024-04-13,126095.55,756573.3
4,85.0,12.0,12.0,2023-06-09,131297.78,1575573.36
5,47.0,3.0,8.0,2021-06-07,99575.61,796604.88
6,80.0,11.0,4.0,2021-07-12,160658.68,642634.72
7,67.0,6.0,14.0,2023-11-01,133548.75,1869682.5
8,21.0,20.0,7.0,2023-10-31,229217.94,1604525.58
9,96.0,1.0,14.0,2024-02-25,144758.78,2026622.92
10,3.0,20.0,6.0,2021-03-29,238293.85,1429763.1
11,6.0,16.0,6.0,2024-12-01,98263.85,589583.1
12,67.0,1.0,17.0,2022-04-05,135382.95,2301510.15
13,67.0,12.0,15.0,2023-02-27,82352.48,1235287.2
14,36.0,1.0,4.0,2023-03-22,141186.04,564744.16
15,66.0,12.0,17.0,2023-03-22,79380.52,1349468.84
16,43.0,7.0,1.0,2023-07-24,131297.78,131297.78
17,27.0,12.0,16.0,2022-09-27,85093.64,1361498.24
18,57.0,10.0,6.0,2022-07-10,131297.78,787786.68
19,76.0,3.0,19.0,2022-08-04,106544.98,2024354.62
20,52.0,20.0,8.0,2022-06-19,222889.92,1783119.36
21,88.0,13.0,8.0,2024-09-08,210759.8,1686078.4
22,25.0,18.0,2.0,2021-03-21,123745.16,247490.32
23,46.0,17.0,8.0,2023-04-20,160605.71,1284845.68
24,70.0,1.0,19.0,2021-05-03,145162.1,2758079.9
25,79.0,19.0,3.0,2023-03-24,102391.23,307173.69
26,93.0,9.0,8.0,2021-09-21,131297.78,1050382.24
27,67.0,14.0,18.0,2023-03-01,124948.88,2249079.84
28,3.0,19.0,10.0,2023-06-28,103377.93,1033779.3
29,24.0,11.0,5.0,2022-10-24,142284.83,711424.15
30,100.0,9.0,10.0,2023-04-20,107914.38,1079143.8
31,16.0,16.0,20.0,2023-12-30,109347.02,2186940.4
32,23.0,7.0,8.0,2022-10-10,158091.29,1264730.32
33,8.0,20.0,10.0,2021-01-10,241093.14,2410931.4
